time,id,x,y,w,h
3302.00 ,1 ,291.95 ,332.96 ,27.36 ,74.99 
3302.00 ,2 ,465.22 ,303.56 ,19.08 ,66.05 
3302.00 ,3 ,392.16 ,276.47 ,26.16 ,46.50 
3302.00 ,4 ,353.82 ,227.44 ,22.40 ,65.90 
3336.00 ,1 ,292.13 ,333.44 ,27.61 ,75.01 
3336.00 ,3 ,393.57 ,277.62 ,26.57 ,45.21 
3336.00 ,4 ,355.20 ,228.03 ,23.33 ,66.36 
3369.00 ,1 ,292.03 ,333.00 ,29.51 ,74.61 
3369.00 ,3 ,393.69 ,277.16 ,25.92 ,43.35 
3369.00 ,4 ,355.92 ,229.36 ,23.60 ,67.08 
3403.00 ,1 ,292.26 ,332.64 ,30.15 ,73.28 
3403.00 ,3 ,394.98 ,276.34 ,26.42 ,40.04 
3403.00 ,4 ,356.71 ,230.01 ,24.46 ,65.39 
3436.00 ,1 ,292.17 ,333.04 ,30.53 ,74.01 
3436.00 ,3 ,395.92 ,280.23 ,26.64 ,48.30 
3436.00 ,4 ,357.54 ,232.00 ,25.74 ,67.35 
3469.00 ,1 ,292.08 ,333.44 ,30.73 ,74.32 
3469.00 ,3 ,396.47 ,283.11 ,25.71 ,51.81 
3469.00 ,4 ,358.14 ,233.10 ,26.39 ,66.63 
3503.00 ,1 ,292.23 ,332.44 ,30.43 ,71.95 
3503.00 ,3 ,397.20 ,284.92 ,25.36 ,52.44 
3503.00 ,4 ,358.62 ,235.79 ,25.91 ,68.77 
3536.00 ,1 ,292.09 ,332.34 ,30.63 ,71.64 
3536.00 ,3 ,398.23 ,288.14 ,26.17 ,56.24 
3536.00 ,4 ,359.03 ,236.84 ,26.76 ,67.39 
3569.00 ,1 ,292.08 ,333.74 ,31.07 ,74.30 
3569.00 ,3 ,399.09 ,289.76 ,25.71 ,58.24 
3569.00 ,4 ,359.38 ,238.48 ,27.23 ,67.13 
3603.00 ,1 ,292.03 ,333.55 ,31.02 ,73.68 
3603.00 ,3 ,399.66 ,289.20 ,25.94 ,55.87 
3603.00 ,4 ,360.26 ,240.69 ,28.09 ,67.93 
3636.00 ,1 ,292.11 ,334.17 ,30.92 ,74.53 
3636.00 ,3 ,400.96 ,289.42 ,26.54 ,52.10 
3636.00 ,4 ,360.46 ,242.71 ,28.18 ,70.63 
3669.00 ,1 ,292.23 ,334.65 ,30.74 ,74.94 
3669.00 ,3 ,401.47 ,289.82 ,25.31 ,49.80 
3669.00 ,4 ,361.05 ,243.69 ,28.86 ,71.22 
3703.00 ,1 ,292.56 ,335.35 ,30.45 ,75.42 
3703.00 ,3 ,402.32 ,289.91 ,24.86 ,51.83 
3703.00 ,4 ,360.02 ,243.86 ,26.26 ,69.04 
3736.00 ,1 ,292.69 ,334.82 ,31.23 ,74.26 
3736.00 ,3 ,403.05 ,292.27 ,23.84 ,50.24 
3736.00 ,4 ,360.35 ,244.98 ,26.50 ,69.46 
3770.00 ,1 ,292.73 ,334.89 ,31.35 ,74.65 
3770.00 ,3 ,406.04 ,292.43 ,24.58 ,45.96 
3770.00 ,4 ,359.96 ,245.54 ,24.55 ,68.89 
3803.00 ,1 ,292.75 ,335.25 ,31.38 ,74.95 
3803.00 ,3 ,407.29 ,295.37 ,23.37 ,49.06 
3803.00 ,4 ,358.92 ,245.92 ,21.94 ,66.34 
3836.00 ,1 ,292.79 ,334.74 ,31.27 ,73.31 
3836.00 ,3 ,408.91 ,298.22 ,23.99 ,52.94 
3836.00 ,4 ,360.73 ,247.46 ,24.43 ,66.94 
3870.00 ,1 ,292.84 ,332.89 ,31.01 ,68.80 
3870.00 ,3 ,410.82 ,297.99 ,24.02 ,50.73 
3870.00 ,4 ,360.95 ,249.07 ,25.02 ,67.01 
3903.00 ,1 ,292.78 ,332.50 ,31.22 ,66.99 
3903.00 ,3 ,412.31 ,305.65 ,22.35 ,63.47 
3903.00 ,4 ,361.00 ,250.14 ,25.21 ,67.02 
3936.00 ,1 ,292.80 ,330.72 ,31.00 ,62.73 
3936.00 ,3 ,413.87 ,308.48 ,21.45 ,67.47 
3936.00 ,4 ,361.44 ,250.83 ,25.86 ,67.45 
3970.00 ,1 ,293.31 ,336.09 ,29.37 ,71.14 
3970.00 ,3 ,414.60 ,308.07 ,21.11 ,65.45 
3970.00 ,4 ,361.59 ,252.91 ,25.99 ,68.87 
4003.00 ,1 ,293.73 ,338.58 ,28.60 ,74.55 
4003.00 ,3 ,415.98 ,303.86 ,21.09 ,56.97 
4003.00 ,4 ,361.34 ,254.64 ,25.05 ,69.53 
4037.00 ,1 ,293.53 ,340.87 ,28.94 ,76.98 
4037.00 ,3 ,417.29 ,304.19 ,20.10 ,52.21 
4037.00 ,4 ,361.36 ,256.62 ,25.07 ,67.75 
4070.00 ,1 ,293.27 ,341.73 ,29.31 ,77.20 
4070.00 ,3 ,417.59 ,303.65 ,22.06 ,49.31 
4070.00 ,4 ,361.55 ,258.45 ,25.11 ,67.08 
4103.00 ,1 ,293.43 ,341.57 ,29.33 ,75.56 
4103.00 ,3 ,419.69 ,302.79 ,20.91 ,46.84 
4103.00 ,4 ,361.56 ,261.81 ,23.98 ,70.26 
4137.00 ,1 ,293.47 ,341.28 ,29.50 ,74.61 
4137.00 ,3 ,421.10 ,303.51 ,20.31 ,45.95 
4137.00 ,4 ,361.91 ,263.35 ,23.77 ,70.82 
4170.00 ,1 ,293.46 ,341.51 ,29.87 ,76.32 
4170.00 ,3 ,421.80 ,306.19 ,20.47 ,49.49 
4170.00 ,4 ,362.76 ,264.84 ,24.33 ,71.17 
4203.00 ,1 ,293.79 ,341.29 ,29.35 ,74.85 
4203.00 ,3 ,422.54 ,307.29 ,22.10 ,50.55 
4203.00 ,4 ,362.64 ,265.69 ,23.71 ,69.70 
4237.00 ,1 ,293.89 ,341.54 ,29.17 ,74.90 
4237.00 ,3 ,423.98 ,309.66 ,22.13 ,51.18 
4237.00 ,4 ,363.13 ,267.42 ,23.94 ,69.73 
4270.00 ,1 ,294.41 ,341.65 ,28.58 ,74.94 
4270.00 ,3 ,425.08 ,309.80 ,22.85 ,49.97 
4270.00 ,4 ,363.48 ,268.71 ,24.47 ,68.32 
4303.00 ,1 ,294.24 ,341.69 ,28.95 ,74.92 
4303.00 ,3 ,425.72 ,313.96 ,24.50 ,55.30 
4303.00 ,4 ,364.02 ,269.06 ,25.38 ,69.27 
4337.00 ,1 ,293.94 ,342.06 ,29.47 ,75.38 
4337.00 ,3 ,426.21 ,315.95 ,26.70 ,56.48 
4337.00 ,4 ,364.39 ,268.83 ,25.96 ,68.63 
4370.00 ,1 ,293.81 ,342.58 ,29.99 ,76.12 
4370.00 ,3 ,427.26 ,319.43 ,29.57 ,60.22 
4370.00 ,4 ,364.50 ,269.02 ,26.24 ,68.01 
4404.00 ,1 ,293.76 ,342.77 ,30.33 ,76.41 
4404.00 ,3 ,427.60 ,319.36 ,31.32 ,55.69 
